STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
37079099999,TEREKLI-MEKTEB,01/01/1959,08/01/1991,null,RS,44.167,45.867,19
35635099999,TEREN'-KUDUK,08/01/1959,31/12/1981,null,KZ,47.7,58.467,511
37539099999,TETRI-TSKARO,01/01/1959,28/09/1991,null,GG,41.55,44.467,1140
27697099999,TETYUSHI,21/08/1974,07/04/2020,null,RS,54.9333333,48.7833333,156
28383099999,TEVRIZ,01/01/1948,06/06/2018,null,RS,57.5166666,72.4,67
36982099999,TIAN-SHAN',10/12/1959,07/04/2020,null,KG,41.8833333,78.2333333,3639
37439099999,TIANETI,01/01/1959,28/09/1991,null,GG,42.1166666,44.9666666,1091
51765099999,TIKANLIK,01/07/1957,07/04/2020,null,CH,40.6333333,87.7,847
28730099999,TIRJANSKI,01/11/1959,01/01/1993,null,RS,54.2,58.567,533
29557099999,TISUL',09/07/1955,25/07/2018,null,RS,55.75,88.3166666,211
29552099999,TJAZIN,09/07/1955,14/01/1958,null,RS,56.1166666,88.5166666,222
28586099999,TJUKALINSK,31/01/1948,09/07/2018,null,RS,55.8666666,72.2,118
37393099999,TKIBULI,01/01/1959,29/09/1991,null,GG,42.3333333,42.9833333,541
51241099999,TO-LI,30/06/1957,13/05/1997,null,CH,45.95,83.617,2072
28957099999,TOBOL,30/05/1953,20/12/1994,null,KZ,52.683,62.6,208
28275099999,TOBOL'SK,31/12/1932,07/04/2020,null,RS,58.15,68.25,50
29636099999,TOGUCHIN,05/01/1948,07/04/2020,null,RS,55.2333333,84.4,173
29848099999,TOGUL,02/02/1948,01/04/1994,null,RS,53.4666666,85.9166666,272
36911099999,TOKMAK,26/12/1960,07/04/2020,null,KG,42.8333333,75.2833333,817
35334099999,TOKMANSAY,01/07/2014,07/04/2020,null,KZ,49.8,57.9833333,368
38473099999,TOKTOGUL,15/12/1960,17/02/1974,null,KG,41.833,72.867,986
44217099999,TOLBO,23/05/1973,07/04/2020,null,MG,48.4166667,90.3,2101
